N,T,malla,n_pmc,m,m_err,e_enunciado,e_enunciado_err,e_por_spin,e_por_spin_err,c,c_err
8,1.5,grueso,2000,0.9884375,0.0020186453322148315,-7.83,0.028176930172383825,-1.9575,0.007044232543095956,0.20960000000000414,0.03408517860370741
8,2.0,grueso,6000,0.9180208333333333,0.008056640625,-7.020833333333333,0.05862267804422098,-1.7552083333333333,0.014655669511055245,1.3820486111111165,0.14165641679108598
8,2.2,grueso,6000,0.8304166666666667,0.01210034883632869,-6.335833333333333,0.0947265625,-1.5839583333333334,0.023681640625,2.157438131313127,0.1928448619670876
8,2.4,grueso,6000,0.6853125,0.020175112195906404,-5.336666666666667,0.1205464783829077,-1.3341666666666667,0.030136619595726926,2.88053703703703,0.16354455231167192
8,2.6,grueso,6000,0.5458333333333333,0.02745035371813063,-4.5425,0.08907670268911179,-1.135625,0.022269175672277947,2.4892083333333277,0.22996017534508437
8,3.05,grueso,2000,0.369375,0.021620452607648992,-3.39,0.10608506211545717,-0.8475,0.02652126552886429,1.4611803278688507,0.21093224189035137
8,3.5,grueso,2000,0.24375,0.018691246380150513,-2.7125,0.09558326955527449,-0.678125,0.023895817388818623,0.790535714285714,0.0923760839713526
16,1.5,grueso,2000,0.9871875,0.0013777070803261385,-15.63125,0.03617823955585887,-1.95390625,0.004522279944482358,0.29531250000006065,0.04631527499049598
16,2.0,grueso,6000,0.9165364583333333,0.0032478531995181145,-14.056666666666667,0.05478476175105738,-1.7570833333333333,0.006848095218882172,1.4327444444444382,0.12865194199403443
16,2.2,grueso,6000,0.7781510416666667,0.017430952113754256,-12.35375,0.15673828125,-1.54421875,0.01959228515625,3.0528721590909216,0.2941880941153124
16,2.4,grueso,6000,0.5423958333333333,0.024426518782943912,-10.195416666666667,0.11394903150831966,-1.2744270833333333,0.014243628938539957,3.372725405092609,0.2120661964195602
16,2.6,grueso,6000,0.34283854166666666,0.01675464786578701,-8.485833333333334,0.10085777395187152,-1.0607291666666667,0.01260722174398394,2.08126175213675,0.07086802290700987
16,3.05,grueso,2000,0.145546875,0.014251298737413,-6.3025,0.12699818911725672,-0.7878125,0.01587477363965709,0.7701557377049167,0.09404808004999275
16,3.5,grueso,2000,0.124765625,0.00961986889676154,-5.29,0.13308412787085408,-0.66125,0.01663551598385676,0.8421000000000001,0.10588908102452642
